question,answer
"Is administering medication to a patient with their informed consent to treat a medical condition an example of a restrictive practice?","No"
"What is the definition of environmental restraint?","Restricting a person's movement or access to their environment through physical or environmental means"
"Is using locked doors or gates to prevent a person from leaving a room or building an example of environmental restraint?","Yes"
"Is encouraging a person to stay in a certain room or area for their own safety an example of environmental restraint?","No"
"What is the definition of mechanical restraint?","Using a physical device to restrict a person's movement"
"Is using handcuffs or leg restraints to prevent a person from leaving a room or building an example of mechanical restraint?","Yes"
"Is using a seatbelt to ensure a person's safety while driving an example of mechanical restraint?","No"
"What is the definition of physical restraint?","Using physical force or manual techniques to restrict a person's movement"
"Is holding a person down to prevent them from leaving a room or building an example of physical restraint?","Yes"
"Is using a soft touch to guide a person to a safe area during an emergency an example of physical restraint?","No"
"What is the definition of seclusion?","Confining a person to a room or space from which they are unable to leave"
"Is locking a person in a padded room for extended periods of time an example of seclusion?","Yes"
"Is providing a person with a private space to rest or recover from an illness an example of seclusion?","No"
"Is administering sedatives to a person with autism to prevent self-harming behavior an example of chemical restraint?","Yes"
"Is using antipsychotics to manage aggression in a patient with dementia an example of chemical restraint?","Yes"
"Is forcibly administering medication to suppress agitation in a person with a mental health disorder an example of chemical restraint?","Yes"
"Is giving tranquilizers to an individual with a developmental disability to limit their mobility an example of chemical restraint?","Yes"
"Is administering sleep aids to control a person's sleep schedule without their consent an example of chemical restraint?","Yes"
"Is administering mood stabilizers to control a person's emotional outbursts without consent an example of chemical restraint?","Yes"
"Is using medication to manage a person's verbal outbursts against their will an example of chemical restraint?","Yes"
"Is administering anticonvulsants to control a person's behavior without a medical indication an example of chemical restraint?","Yes"
"Is using anti-anxiety medication to suppress a person's natural emotional responses without consent an example of chemical restraint?","Yes"
"Is placing a person in an isolated room as punishment an example of environmental restraint?","Yes"
"Are using a locked room to confine someone with a mental health disorder and blocking exits to prevent a person from leaving a care facility examples of environmental restraint?","Yes"
"Is limiting a person's access to personal items or belongings as punishment an example of environmental restraint?","Yes"
"Is blocking access to outdoor spaces as a form of control an example of environmental restraint?","Yes"
"Is restricting a person's freedom to choose their daily activities or schedule an example of environmental restraint?","Yes"
"Is using noise or sensory deprivation as a means of control an example of environmental restraint?","Yes"
question,answer
"Is denying access to essential facilities such as restrooms or dining areas an example of environmental restraint?","Yes"
"Is restricting access to common areas or recreational facilities an example of environmental restraint?","Yes"
"Is placing barriers around a person's bed to limit their movement an example of environmental restraint?","Yes"
"Are using a straitjacket to immobilize a person, utilizing limb restraints on a person with a mental health disorder, and restricting an individual's movement with a helmet and body suit examples of mechanical restraint?","Yes"
"Is using a restraint chair to limit a person's mobility an example of mechanical restraint?","Yes"
"Is applying mittens or finger control devices to prevent self-harming behavior an example of mechanical restraint?","Yes"
"Is applying restrictive clothing or harnesses to limit a person's movement an example of mechanical restraint?","Yes"
"Is using bed restraints or bed rails to prevent a person from getting out of bed an example of mechanical restraint?","Yes"
"Is applying a weighted blanket or vest without a person's consent or for non-therapeutic purposes an example of mechanical restraint?","Yes"
"Is restricting an individual's movement using a lap tray or table an example of mechanical restraint?","Yes"
"Is utilizing a posey or soft restraint to confine a person's limbs an example of mechanical restraint?","Yes"
"Is forcefully holding a person's arms or legs to prevent movement an example of physical restraint?","Yes"
"Is restraining a person in a prone or supine position an example of physical restraint?","Yes"
